Symbol,mean_rank
CACYBP,8306.5
MT-CYB,17546.0
MT-CO2,11351.0
CMC1,4056.0
COX7A2L,11733.5
CYP2C8,12886.0
CYP2J2,14572.5
C17orf82,6837.0
C17orf100,1007.0
CYP2S1,11832.0
CRTAP,7658.5
CRLF1,8484.0
CRLF2,15384.5
CRYAA,9181.5
KCNIP3,8002.5
CSH1,11124.5
EMC6,5036.5
EMC9,8349.0
EMD,11094.0
CSF2RA,17021.5
CSF3R,16067.0
EMID1,10685.5
CASKIN2,8375.5
COPS6,13498.5
COPS7A,16519.5
RBBP8,15995.5
CTNNA1,14812.0
SLC44A1,13311.5
CTAGE15,1613.0
CUL3,16263.0
CUL4A,14854.0
CUTC,14154.5
CUX2,14132.5
CXCL2,10691.0
CXCL5,12340.5
CXCR5,10080.0
GJB4,8969.5
CXCL13,11170.0
CXCL14,9219.0
CXCL17,13517.5
RTL8C,11371.0
CYB561,5448.5
CYBB,16079.5
CYBRD1,14684.5
CDS2,11625.0
CEP85L,10196.5
CEACAM16,7415.5
CEACAM18,8019.0
CEP164,12682.0
C5orf51,1767.0
CEBPZ,14046.0
CELSR2,13224.0
CEFIP,9250.0
UGCG,15661.0
CEP19,11057.0
CENPK,8963.0
CENPB,16174.0
CELSR1,7369.5
CENPO,5227.5
CETN3,13872.5
C6orf99,1117.0
CFAP77,7171.5
CFAP161,7706.0
C7orf61,10472.5
C8orf86,6996.0
C8orf87,1120.0
LINC00208,1121.0
CFAP44,9215.0
CSGALNACT2,9999.0
CFAP52,10430.5
C8orf49,1143.0
CFAP58,10146.0
HSPE1,15845.5
DLD,10843.0
CHCHD7,7827.0
CHD3,11394.5
CNIH3,9015.0
CNGA4,11650.0
CNIH4,8221.5
CNGB1,8991.0
HLA-DPB1,15694.0
CNN1,14134.0
HMGN2P46,1172.0
CNNM1,9532.0
CNPPD1,7416.0
CNOT3,13428.0
CNOT4,12667.5
CNR1,11500.5
CNTNAP2,15348.0
CNOT8,16279.0
CNOT9,5120.0
CNTROB,6156.0
CNTRL,8657.0
C15orf61,8257.5
DPH1,6999.5
C8B,9424.5
C3,17567.0
COL9A2,7088.5
COL6A1,9795.5
COL6A3,13828.5
COL6A5,10205.0
COL6A6,6838.0
C6,16315.5
DPH5,7114.0
DPM1,8752.5
DPM2,8072.5
DPM3,5100.5
COQ10B,12775.5
CPSF1,6667.0
CREB3L4,7436.5
CPLX4,12564.5
CYP24A1,13408.5
CRIPAK,4345.0
CTXN1,6314.0
CTXN3,12906.0
CTU2,17556.0
LINC00479,1054.0
LINC00322,1066.0
C21orf58,3479.5
LINC00846,1089.0
LINC00310,1095.0
LINC00313,1096.0
LINC00205,1098.0
LINC00527,1099.0
CUL1,14424.5
CUL9,5609.5
ENOSF1,10283.0
T-ENOL,1069.0
CWC25,11449.0
ENOPH1,7608.5
CXorf21,5842.5
NKAPP1,1083.0
CXorf58,9140.0
CXorf51A,1077.0
CXorf51B,1078.0
LINC00269,1079.0
CXorf65,6471.5
ENOX2,16096.5
CX3CR1,17607.0
COX6A1,6330.5
COX7A1,7353.5
COX7A2,6714.0
COX6B2,6288.0
GJA1,11984.5
GJA5,12253.0
GJA9,8445.5
CXADR,16882.0
GJB7,12263.0
GJB2,12910.0
GJD3,14020.5
GJB5,14421.0
CXCL11,12811.0
CXCR3,10198.5
CXXC5,8931.5
CXXC1,11746.0
CYBA,12956.5
CYB5B,4385.5
CYCS,19978.5
CYLD,13075.0
FAM72A,9288.0
FAM72C,9228.5
FAM83A,10919.5
CPTP,10527.5
CYP8B1,8906.0
CYP2C19,15374.5
CYP2A6,14994.0
CPLX1,12278.5
CPXM2,8821.5
CPAMD8,6985.0
CRYBG1,6686.5
EIF3L,4039.0
CHRDL2,8485.0
ORAI1,13159.0
CPT1C,17353.5
MCC,10264.0
CRCT1,10145.0
CREG2,2217.0
CHRFAM7A,7105.5
CRP,12178.0
CRISPLD1,7558.0
CROCC,8051.5
CRB2,11650.0
CRB3,10022.5
CRX,14466.5
CTNND1,11603.0
CTNND2,9542.0
CTNNAL1,13494.5
SLC44A3,10056.0
SLC7A3,8719.0
CTDSPL2,3260.5
CATSPER1,8635.5
CATSPER3,7535.5
CTRC,15332.5
CATSPERB,10933.5
CATSPERD,3688.5
ERVK11-1,1038.0
ERVK13-1,1037.0
ERVK-19,1036.0
ERVK-25,1035.0
ERVK-5,1034.0
ERVK-9,1031.0
CTU1,5720.0
MLLT1,9418.5
CTXN2,2874.0
LINC00114,1028.0
LINC01549,1043.0
LINC01548,1044.0
C21orf62,3830.5
CUEDC2,7804.0
CUL5,10337.5
CXCR6,16347.0
CXCL9,11803.5
GJD2,14541.0
CXCR1,12902.0
CYB561A3,3201.0
C5orf22,11089.0
CDK1,11833.5
C5orf34,11495.0
CDSN,13352.0
CDS1,5812.5
CEP295,13038.0
CEL,15152.5
CENPC,9816.0
CENPP,4274.0
CELF1,11957.5
CENPH,11361.5
DIEXF,14057.5
CENPA,15181.0
CELF4,11438.0
CEP83,13311.5
CENPU,6178.5
CERS6,12625.0
C6orf183,1159.0
LINC01600,1157.0
CFAP65,8958.0
LINC01556,1156.0
CETP,15632.0
CFAP298,9033.5
CFAP97,6557.5
LINC00472,1154.0
CGNL1,10352.0
CFAP45,9331.5
CHI3L1,15382.5
CHCHD10,17390.5
CMSS1,8678.0
CMTR1,13661.0
NCAPG2,6102.5
CMYA5,6541.0
CNDP1,15209.0
LINC00596,1147.0
CNGA3,9632.5
CNKSR2,8288.0
CNNM3,7143.5
CNOT10,2749.5
CNN2,16292.0
CNN3,8352.0
CNOT6L,10593.5
CNOT1,11404.0
CNPY2,8421.5
CNOT2,12227.5
CNTN5,14160.0
DPEP3,9124.5
CNR2,14980.5
DPF1,5790.5
CNTF,12710.5
DTNBP1,14644.5
COX5A,11768.5
DTD1,9483.0
DTD2,9037.5
COX8A,17091.0
C16orf96,2889.5
C16orf46,4324.0
C16orf62,8013.0
CYP11A1,15230.5
C16orf90,6418.0
C17orf78,6554.0
CYP4F11,9778.5
C17orf98,6692.0
CYP4F12,6072.5
CPNE5,9613.5
CPLANE1,7821.0
CAPNS1,11694.0
CYP2F1,8688.0
CYP4F2,10155.0
CYP3A7,10999.0
C17orf51,9071.0
CYP2W1,11180.5
CYP4Z1,12989.5
CPEB3,15988.0
CPLX2,8043.0
CPT1A,10957.5
CPEB4,7888.5
CYP2D7,1107.0
CYP4A22,8834.0
CRYBA4,14037.0
CRADD,8426.0
CRISPLD2,8394.0
CROCCP2,1124.0
CRLF3,9063.5
CRYAA2,14327.0
CRYL1,10655.0
EMC2,11279.0
CSF2,15844.0
CSNK2A3,7572.0
CASKIN1,5185.0
CASK,13630.5
CSK,16872.5
C19orf25,6599.5
SLC7A1,10489.5
SLC7A4,16607.0
CATSPER2,10661.0
CTRL,19126.5
,1134.0
ENHO,13659.5
CATSPERE,8847.0
ERVK-21,1132.0
ERVK-24,1131.0
CUEDC1,8470.0
ENO4,9901.5
CUL4B,13018.0
CUZD1,9808.5
C22orf15,8554.0
C22orf24,6790.0
C22orf31,1461.0
LINC00528,1126.0
C22orf39,10610.0
C22orf42,6187.0
C22orf46,4749.5
CWC15,16663.0
CWC22,12971.5
CWC27,4320.0
CXorf1,923.0
LINC01560,922.0
LINC01546,921.0
LINC01545,920.0
CXorf38,3901.0
CXorf49,4210.5
CXorf40A,9981.0
CXorf40B,7905.5
CXorf56,5622.0
ENOX1,10637.5
CXorf66,9274.0
CXorf67,12182.0
COX7B2,8451.5
GJA3,11426.5
GJC1,18026.0
GJC2,14017.5
GJC3,12622.0
CXCL10,11042.5
CXCL16,9494.5
CYC1,13823.5
CXXC4,12180.5
CCL4,13173.0
CCR9,10914.0
CD79B,16215.0
CD44,17222.0
CDC73,15894.0
CD52,16473.0
CDCP2,5923.0
CDR2L,11181.0
CDO1,10344.5
CDY1,927.0
C6orf106,9264.5
C6orf141,8707.5
CEP70,11784.5
CFAP46,3641.0
CHFR,9075.5
CHCHD1,8842.5
CHCHD2,8184.0
DNLZ,10610.5
DNM1L,16148.5
DNMT3A,16328.5
DNMT3B,16145.5
DNMT3L,8816.0
DNMBP,13644.5
DNMT1,11040.5
DNPEP,12617.5
DNPH1,14492.5
DNASE2,16211.5
DNASE1L1,10021.5
DNASE1L3,11848.0
HLA-DOB,12594.5
DOCK10,10942.0
DOCK11,13937.5
DOC2B,12119.0
DOCK1,14744.0
DOCK3,13136.5
DOCK7,11858.5
CSNK1G2-AS1,908.0
CAMTA1,14319.0
NCAPG,14372.5
NCAPH2,11082.0
CNBP,15891.5
,885.0
LINC01551,884.0
C14orf28,10142.5
LINC00523,882.0
C14orf93,10581.0
C14orf119,8736.5
C14orf132,879.0
C14orf144,878.0
C14orf177,4326.0
C14orf178,1953.0
LINC01599,876.0
CNP,10668.5
NCAPD2,11082.5
CNK3/IPCEF1,9886.0
CNGB3,13600.5
CNTN1,15224.5
CNTN2,10364.5
DPEP1,15746.5
CNTN4,13109.5
CNTN6,11902.0
CNOT7,12364.0
CNTD1,4685.5
CNTNAP3,10018.0
CNTNAP4,10672.0
C15orf40,8052.5
C15orf41,10446.5
COL2A1,16702.0
COL4A2,14333.0
CERKL,12371.0
CENPJ,14346.0
CENPT,12529.0
CENPL,9658.5
CEP89,10083.5
CENPV,16441.0
CES1P1,899.0
CFAP206,9014.5
CFH,10912.5
CFI,9992.0
CEP57,12058.0
CEP68,9400.5
C7orf33,7806.5
CGREF1,9743.5
CFAP20,13356.0
CHAMP1,11729.5
CHD5,7679.5
CHD8,8825.5
CHD9,11713.5
CHDH,13073.0
COL5A1-AS1,892.0
DPRX,12165.0
PDSS1,10473.0
TCTE1,7137.5
FBXL13,9709.5
DRC7,9242.0
EFCAB2,9456.0
IQCG,4093.5
DRD1,16124.0
DRD2,16767.0
COL23A1,9779.0
DRD4,13097.0
CYP39A1,11298.0
CYP3A4,19613.0
CPVL,5663.5
CR1,10674.5
CYP2B6,13515.5
CREB3L1,16217.5
ENSA,13693.0
ENTPD3,13402.5
ENTPD5,16750.0
ENTPD7,9973.0
ENY2,11390.5
ENPP4,7118.5
EPPIN,15462.0
EPS15,11659.0
CLINT1,10952.5
EPHA10,11478.0
EPHB3,14170.5
ERC2,15045.5
KDELR3,9561.0
ERFE,14037.0
ERI1,10674.0
ERI2,4944.5
ERGIC2,10978.0
ERI3,5448.0
ERICH6B,2145.0
ERICH1,5004.0
ERICH2,10611.0
ERICH3,3892.0
ERICH4,1410.0
ERICH5,8250.5
ERVK-25,1020.0
ERLIN1,5567.5
ERLIN2,6589.0
ERMAP,11711.5
GPR12,13812.0
ERN2,9391.0
GPR18,13693.5
GPR1,17006.5
GPR21,5546.5
GPR26,6698.0
ERVV-1,12614.5
ERVV-2,6603.5
EPS8L1,12332.0
EPS8L2,3822.0
EPS8L3,9973.0
ESAM,14765.5
ESCO1,8323.0
ESCO2,7598.5
GPX5,9944.5
EPSTI1,11365.0
ESRP1,8104.0
ESD,10101.0
GZMA,10003.5
GZMB,16561.0
ESX1,15609.0
GZMK,15988.5
GRAMD4,9641.0
GRAP2,9812.5
GRAP,10300.0
ESYT1,12810.5
ESYT2,9122.0
ESYT3,10848.0
GRB10,9076.0
ETDA,961.0
ETDB,960.0
ETDC,959.0
ETFB,12658.0
ETFRF1,8233.5
CCDC88A,10308.5
ETV1,14831.5
ETV3,11479.0
ETS2,9885.0
EURL,12294.5
EVA1C,9767.5
EVC,13916.5
C22orf23,8111.0
EVI2A,13403.5
EVL,15014.5
EVPLL,9144.0
EVX1,12259.0
EVX2,5859.0
EWSR1,11004.0
EXOC3L1,8435.5
RASGRP2,7659.0
CDKL2,11969.0
CDK13,9227.0
CEACAM21,9078.0
C5orf17,977.0
C5orf24,7918.0
CDX1,8888.0
CDK7,12226.5
CEACAM8,15322.5
CELF6,10048.5
C6orf15,18236.5
C6orf47,7018.0
C6orf50,971.0
C6orf203,8824.0
CFAP73,7612.0
C6orf120,9196.5
CFAP74,5771.5
LINC00242,968.0
LINC01006,1104.0
C7orf25,8600.0
UGT8,14244.5
CGAS,16798.0
CFTR,17271.0
CFAP57,9603.0
CHD6,5256.0
COL8A2,8108.5
C4A,10822.0
C8G,12075.5
COL9A1,7949.0
COL4A1,12219.5
COL6A2,13174.5
COA3,11832.5
COL7A1,12013.0
POLD3,9365.5
POLD4,8973.0
POLE,15276.5
POLE2,8658.5
POLE3,9652.0
DPP7,9566.5
DPP3,9482.0
DPP4,16354.5
CFL1,16040.0
CFL2,8216.5
DPP8,17831.5
DPP9,10774.0
DPPA4,6027.5
DPPA5,4848.0
COL24A1,4654.0
COP1,5187.0
DUSP13,13982.0
COX20,14476.5
DDIT3,15903.5
CFAP100,5915.0
C16orf70,1960.5
C16orf89,5196.0
ENTPD6,10917.0
EP300,16124.5
EPDR1,15875.0
EPM2A,15892.5
EPG5,9695.0
EPN3,11124.5
EPHA2,13055.0
ERCC6L2,10057.0
GPN2,12217.0
ERCC6L,6934.5
ERCC1,11235.0
ERCC2,16979.5
ERCC5,9225.0
ERCC6,9886.5
ERCC8,13014.0
ERF,12146.5
SQLE,10001.5
TM7SF2,11971.5
ERG28,12828.5
ERGIC3,11255.5
LSS,10515.0
ERGIC1,9642.5
ERICH6,1720.0
ERC2-IT1,1220.0
ERN1,10387.5
GPR15,9201.0
GPR17,9344.5
GPR19,1223.0
ERO1A,14839.0
GPR22,3986.0
GPR25,3091.0
ERP27,10107.5
GPR31,11596.5
GPR32,12130.5
GPR33,9986.5
GPR34,6335.0
GPR39,8158.0
GPR42,9258.5
GPR45,10984.5
GPSM1,12946.0
GPSM2,15457.0
GPATCH11,2659.5
CSB-PGBD3,10626.5
ESRRA,10540.0
GPATCH3,9338.0
ESRRB,10921.0
ESRRG,15847.5
GP6,17018.5
ERRFI1,14839.5
GPX1,17100.0
GPX2,9315.0
GPX3,16741.5
ESF1,12728.0
GPX7,8017.0
ESM1,16533.5
ESPNL,9779.0
ESR1,11700.5
CES3,14704.5
CES4A,10610.5
CES5A,14374.0
LINC01565,8017.0
GZMH,14556.5
GZMM,16472.5
GCA,9192.0
GRIPAP1,10061.0
GRAPL,8566.5
GRASP,12155.0
ETAA1,11820.5
GRB14,6970.5
GREB1L,11026.5
GRB2,16155.0
GRB7,17094.5
ETFA,10844.5
EGLN1,10207.0
EGF,19564.0
ELFN1,11241.0
ELF1,10048.0
ELK4,6092.0
ELOVL5,15646.5
ENPP5,10771.0
ENTPD2,16640.5
PROCR,16564.0
EPHA4,16276.5
EPAS1,16135.5
EPHA8,7299.5
EPHB1,13978.5
ERAL1,16275.0
EPHB4,15937.0
EPHX4,11044.5
ERBB4,16701.5
ERBIN,14337.5
GSPT1,13177.5
ERG,11885.0
ERH,15119.0
ERLEC1,8608.0
ERMN,11927.5
ERMP1,10774.5
ERP44,9398.0
GPR20,3639.0
ERO1B,5213.5
GPR27,6293.0
ERP29,14275.5
GPR35,16801.0
GPR37,13685.5
GPR3,7740.0
GPR4,13235.0
GPR52,11561.0
GPR55,15958.5
GPR61,10161.5
GPR62,9243.5
GPR63,9564.5
GPR6,14700.0
GPR75,13529.0
GPR78,5176.5
GPR82,11767.0
GPR83,9018.0
GPR84,13670.5
GPR85,9226.5
GPR87,5885.0
GPR88,12895.5
GLIPR1L1,8515.5
GPS2,8456.5
GPSM3,11189.0
GPATCH2L,7846.5
GPATCH1,8857.5
GPATCH2,9125.0
GPATCH4,9027.0
GPATCH8,9311.0
DPAGT1,16348.0
GP5,16923.0
GPX4,12999.5
DUX4L3,4262.0
DUX4L4,3637.5
DUX4L5,1260.0
GABRR1,7314.5
GBX1,5241.5
DTX4,4854.5
EFHC2,10401.0
EFHD1,14067.5
GEMIN4,6001.0
GEMIN5,8679.5
GEMIN6,7697.0
EFNA5,19432.5
EFNB1,14734.0
EFNB2,10055.0
GEM,13516.5
GEN1,11855.5
GPHN,10787.5
GFI1,15614.5
GFOD2,8449.0
EFR3A,9709.5
EFR3B,5536.0
EFS,16265.5
GGN,8387.5
GGPS1,16259.5
SLC25A18,12666.0
GHDC,10582.5
EIF2B2,12446.5
EHD1,15470.5
EIF1AD,9852.0
GID8,10529.5
EGFL8,13646.5
EGFLAM,13955.0
EID3,9693.0
ELOA3C,8227.0
ELOA3D,1433.0
ELK1,4209.0
ELK3,9567.0
ELMO3,10774.5
ELOVL1,12239.5
ELOVL2,15289.5
ELF4,13215.5
ELOVL3,8682.5
ELF5,14376.5
IFI30,15125.0
GIMAP1,10453.5
GIMAP2,7173.0
GIMAP4,11891.0
GIMAP5,12834.5
GIMAP6,9696.5
GIMAP7,6638.0
GIMAP8,11641.5
GIMD1,288.0
GIN1,11535.5
GINM1,2145.0
GIPC1,8404.5
GIPC2,3373.0
GIPC3,12709.0
GIPR,12806.0
GIP,14433.0
GIT1,12490.5
GIT2,11618.0
GKAP1,5044.0
GKN1,6609.0
GKN2,14552.5
GKN3P,277.0
GLB1L,10710.5
HSP90B2P,275.0
HSP90B1,14415.0
EOMES,11407.0
EOGT,6221.0
EPM2A,13508.0
ENPP3,13313.0
EDDM3A,13282.0
EP400,6531.5
EPHA5,16470.5
DIAPH2-AS1,321.0
EPN1,11310.5
EPN2,11269.0
ERAP1,11502.5
EPHB6,11077.5
EPHX3,14631.5
ERBB3,18025.5
ERCC3,8785.0
HSPA9,14198.5
EXO5,12266.0
EXOC4,11419.5
EXOSC2,7525.0
EYA2,6533.5
EYA4,11514.5
EXTL2,13243.5
EZR,14807.5
FAM110B,6994.0
FAM110D,6211.0
FAM107B,9700.0
FAM117B,5688.0
DMRT3,11129.5
DLX2,16517.5
DNM1P34,301.0
DMRTB1,6718.0
DLK1,17946.0
DTWD1,7054.0
DTX1,16312.5
DUSP5,14162.0
DUOX1,9481.5
DUSP10,11424.5
GFPT2,16442.0
GFRAL,10325.5
GAGE12B,5750.5
GAGE12F,16429.5
GAGE12I,8154.0
GAGE12J,5875.5
GOLGA6L2,8274.0
GOLGA6L3,242.0
GOLGA6L4,5662.5
GOLGA6L6,5825.0
GOLGA6L7,240.0
GOLGA6L9,4612.5
GOLGA6L10,3234.0
GOLGA6L19,239.0
GOLGA6L22,5751.5
GGA1,10776.5
GOLGA2P5,238.0
GGA2,10347.0
GGA3,10020.0
GGACT,2603.0
GGCT,10186.5
GAGE2D,237.0
PAGE2B,10432.5
GGH,11733.0
GGNBP1,236.0
GGNBP2,8476.0
GGT3P,234.0
GHITM,8836.0
EGR1,10168.0
EIF3A,18083.0
ENPP6,13415.5
ENTHD1,9391.5
ENPP2,18740.0
EPGN,11402.0
EPYC,8053.5
EQTN,5290.0
EPOP,5322.5
EPOR,13366.5
EPO,15075.0
GPN3,8254.0
GPNMB,8677.0
ERVPABLB-1,226.0
ERBB2,19352.0
EREG,8964.5
ETF1,8270.0
KDELR1,13712.0
GSPT2,4017.0
KDELR2,3742.5
DHX32,12515.5
SORD,17710.5
DMRT1,13451.0
DMTF1,9681.5
DUS4L,9612.0
GABRR3,10966.0
DUSP6,13544.0
DUSP16,15006.5
GCC1,6491.0
DUSP21,6424.0
DUT,18372.0
DUX1,244.0
EEF1AKMT4-ECE2,14248.5
EFCAB13,4279.0
EI24,11664.0
EGFL7,16995.5
EIF2D,5255.5
EIF2B5,10422.0
EIF1,17608.0
ELL,17682.0
ELP1,12805.5
ELAVL3,18159.5
ELP3,8967.5
ELP4,8854.0
ENTPD8,12270.5
DMRT2,9783.5
DLGAP4,9305.0
DNAL1,12042.0
DNASE1,11933.0
POLN,13628.5
POLQ,11987.5
POLG,14311.5
POLB,14284.0
,253.0
DSCAML1,8158.5
DSCR4,9750.0
GABRA1,16141.0
DSCR10,251.0
DSC2,17023.0
DTL,16304.5
GABRD,9261.5
GABRG3,7802.5
GABARAPL1,18553.5
EEF1DP3,249.0
AGL,14294.5
GDF11,13408.0
EEF2KMT,9808.0
GDF2,18691.5
GDF5OS,246.0
EFCAB11,2159.5
EFCAB12,6051.0
ERVFC1,310.0
ERVFC1-1,325.0
EFCAB1,7064.5
GGT2,13432.5
GGT5,13090.5
GGT6,11258.0
GGT7,7054.5
TUFM,10519.0
EIF2B1,10630.0
EID1,18078.5
ELL2,10043.0
ELP5,14595.0
ETNK1,10099.5
ELP6,9867.5
DUS2,10116.5
DUSP7,7249.0
DUSP3,18419.5
GCDH,13543.5
DUSP22,12178.5
GCFC2,5003.5
EGFL6,8096.5
EIF3D,10301.5
EHMT2,17701.0
ENG,18509.0
GID4,8979.5
EIF3G,13293.0
ELL3,7174.0
EIF3I,13477.5
ELOA3B,11121.0
ETNK2,8205.5
ELMOD2,8223.0
ELMO1,11808.5
ELAVL1,14540.5
ELANE,14875.0
ELOVL4,12882.0
ENTPD4,6843.0
EPC1,10781.5
DLGAP3,11429.5
HLA-DMA,12454.0
DNAI2,8355.0
DLG5,8921.0
GCNT1,11620.5
GCNT3,13856.5
GCNT7,8308.0
TUBGCP2,11459.0
DNAH7,6756.5
DNAH8,6201.0
TUBGCP6,9139.5
DYDC1,10745.5
DYDC2,11656.5
DNAH12,10699.0
DNAH14,11971.5
DNAH17,4251.5
DNAH3,9076.5
DYNLL1,18664.0
DYNLT3,7952.5
DYM,11193.0
DNM2,9125.5
DYRK1B,7045.5
DNM3,6226.5
DHFR2,8805.5
DYRK2,15487.0
DYRK3,13912.5
DYRK4,11242.5
DZANK1,6506.5
DZIP1L,6459.5
GCSAM,15015.0
EIF2AK1,11745.5
EIF2AK2,10505.0
E2F4,11263.0
E2F5,7650.0
EIF2AK3,14730.5
EIF2AK4,9448.5
E2F8,7420.0
GCSH,14895.0
EPB41L1,10488.5
EPB41L5,6392.5
EAF1,10454.0
EAF2,12807.0
EBLN1,4739.5
GDF5,13177.5
EEF2,9906.5
GDF6,12232.5
EFCAB5,5997.0
EFCAB7,10754.0
GFM1,12746.0
SERPINE2,13710.0
GDPD1,11860.0
DNA2,9328.5
DLG4,18882.5
DYNAP,6634.5
DHFR,18922.0
DYSF,14032.0
DST,17834.5
DYTN,11969.5
DZIP1,9966.0
DZIP3,8251.0
E2F3,13699.0
E2F6,11400.0
E2F7,12309.0
E2F1,13791.5
EPB41L2,8304.5
EPB41L3,9434.0
SLC1A1,19111.5
SLC1A7,14603.5
EAPP,15332.5
MEAF6,8530.5
ECD,4589.5
HADHA,9161.5
HADHB,12390.5
ECHDC2,2516.5
ECHDC3,2656.0
ECHS1,11847.0
EHHADH,7886.5
ECI1,6887.5
ECI2,11587.0
DHRS11,16820.0
DHX33,7471.5
C3orf58,10178.5
DHRSX,11539.0
DIAPH2,6860.0
DNAJC25,6294.5
DNAJC12,7949.5
DMRTA2,4989.0
DLGAP2,10674.5
PDSS2,12374.5
DYNLRB2,5715.5
DVL3,10592.5
,330.0
DDX39B,15994.5
GCKR,9949.5
GCM1,11710.5
GCNT4,5331.5
TUBGCP3,15592.0
TUBGCP4,8969.0
TUBGCP5,7604.5
DNAH9,14718.5
DYNC2H1,16381.5
NR3C1,12037.5
DNAH5,9376.0
DNM1,18666.5
E2F2,10525.5
EPB41L4B,4012.5
E4F1,6134.5
EP400P1,5599.5
EPB41L4A,7745.5
DLL4,18463.5
DLX4,15286.0
DMBT1,11283.0
DUX3,367.0
DVL1P1,366.0
DDX39A,7761.0
EBNA1BP2,6675.0
EBLN2,6550.5
EBPL,8062.5
ECE1,19103.0
ECE2,10312.0
ECEL1,9868.5
RNASE3,12546.5
EDC4,17452.0
EDDM13,356.0
EDEM2,8798.0
EDEM3,13524.5
EDF1,16458.0
EDIL3,8376.5
EDN3,9632.0
EEPD1,3109.5
EDRF1,2906.0
EEF1A2,14674.5
GDAP1L1,2294.5
CGRRF1,2323.5
C8orf31,10862.0
C8orf74,1121.5
CH25H,15927.0
CHD4,17680.0
CHODL,13195.5
DNER,15014.0
DNHD1,6125.5
DNAJA3,16010.0
DNAJA4,13065.0
DNAJB1,19194.5
CKS1B,16560.5
DNASE2B,10816.0
DNASE1L2,9254.5
CLPTM1,5732.5
HLA-DOA,9677.5
DOC2A,8399.5
DOCK2,10166.5
DOCK4,7089.0
DOCK5,14763.5
DOCK6,11278.5
DOCK8,17697.5
DOCK9,6531.0
DOHH,8615.0
DOK1,10893.0
DOK2,9817.0
DOK3,13514.5
DOK4,13555.0
DOK5,13189.5
DOK6,3515.5
DOK7,15162.5
DOLK,17268.5
DONSON,7871.5
DOP1A,7894.0
DOP1B,11303.5
DDT,11055.5
DBH,12253.5
DOLPP1,5500.5
DOT1L,10909.0
DUOXA1,14148.5
DUOXA2,15413.5
APPL1,11588.0
APPL2,12582.5
DPEP2NB,95.0
HLA-DPA1,16884.5
DHX35,10978.5
DHRS3,9752.0
DHX36,16199.5
DHX37,6859.5
DHX40,12158.5
SLC25A10,6962.5
DIP2A,6737.5
DNAJB12,12812.0
DKK1,9690.5
DKK2,10757.5
DKKL1,11039.5
DMRTC1,1381.5
DMPK,11742.0
DLG2,11356.5
DNAL4,11557.5
POLE4,8160.0
POLG2,10129.5
POLA1,13360.5
GATB,11314.0
GNB3,16804.5
GNB4,8695.0
GABRG1,13974.0
GABRG2,17205.5
DUX4L2,10620.5
DUSP8,15993.0
DUSP12,7848.5
,20.0
DUSP19,12783.5
